All	HP:0000001
Broad wide portion of upper limb bone	HP:0003856
Cortical diaphyseal irregularity of the upper limbs	HP:0003858
Cortical diaphyseal thickening of the upper limbs	HP:0003859
Diaphyseal sclerosis of the upper limbs	HP:0003860
Increased bone density in central part of long bone of upper limbs	HP:0003860
Broad diaphyses of the upper limbs	HP:0003861
Wide diaphyses of the upper limbs	HP:0003861
Wide shaft of long bone of the upper limbs	HP:0003861
Broad shaft of long bone of the upper limbs	HP:0003861
Absent humerus	HP:0003862
Absent long bone in upper arm	HP:0003862
Aplasia of the humerus	HP:0003862
Aplastic humerus	HP:0003862
Angulated humerus	HP:0003863
Angulated long bone in upper arm	HP:0003863
Bifid humerus	HP:0003864
Notched long bone in upper arm	HP:0003864
Bowed humerus	HP:0003865
Bowed long bone in upper arm	HP:0003865
Bowing of the humerus	HP:0003865
Humeral bowing	HP:0003865
Coarse humeral trabeculae	HP:0003866
Humeral cortical irregularity	HP:0003867
Humeral cortical thickening	HP:0003868
Humeral cortical thinning	HP:0003869
Crumpled humerus	HP:0003870
Crumpled long bone in upper arm	HP:0003870
Deformed humerus	HP:0003871
Deformed long bone in upper arm	HP:0003871
Humeral exostoses	HP:0003872
Humerus varus	HP:0003874
Humeral lytic defects	HP:0003875
Lytic defects of the humerus	HP:0003875
Osteoporotic humerus	HP:0003876
Oval transradiancy of humerus	HP:0003877
Humeral oval transradiancy	HP:0003877
Periosteal new bone of humerus	HP:0003878
Humeral pseudarthrosis	HP:0003879
False joint (long bone in upper arm)	HP:0003879
Sclerotic foci of the humerus	HP:0003880
Humeral sclerotic foci	HP:0003880
Humeral sclerosis	HP:0003881
Sclerosis of humerus	HP:0003881
Increased bone density in long bone of upper arm	HP:0003881
Slender humerus	HP:0003882
Slender long bone of upper arm	HP:0003882
Tapered humerus	HP:0003883
Tapered long bone of upper arm	HP:0003883
Triangular humerus	HP:0003884
Triangular long bone of upper arm	HP:0003884
Undermodeled humerus	HP:0003885
Wide humerus	HP:0003886
Wide long bone of upper arm	HP:0003886
Broad humerus	HP:0003886
Abnormality of the humeral heads	HP:0003887
Abnormal head of long bone in upper arm	HP:0003887
Flattened humeral heads	HP:0003888
Flattended head of long bone in upper arm	HP:0003888
Abnormality of the deltoid tuberosities	HP:0003889
Prominent deltoid tuberosities	HP:0003890
Abnormality of the humeral epiphysis	HP:0003891
Abnormality of end part of the long bone of the upper arm	HP:0003891
Abnormality of the humeral epiphyses	HP:0003891
Absent humeral epiphyseal ossification	HP:0003892
Absent ossification of the humeral epiphyses	HP:0003892
Absent maturation of end part of long bone in upper arm	HP:0003892
Advanced ossification of the humeral epiphysis	HP:0003893
Advanced maturation of the humeral epiphyses	HP:0003893
Accelerated maturation of end part of long bone in upper arm	HP:0003893
Delayed humeral epiphyseal ossification	HP:0003894
Delayed maturation of the end part of the long bone in upper arm	HP:0003894
Delayed maturation/delayed ossification of the humeral epiphyses	HP:0003894
Flattened humeral epiphyses	HP:0003895
Flattened end part of long bone in upper arm	HP:0003895
Irregular humeral epiphyses	HP:0003896
Irregular end part of long bone in upper arm	HP:0003896
Irregular ossification of the humeral epiphyses	HP:0003897
Irregular maturation of the end part of the long bone in upper arm	HP:0003897
Large humeral epiphyses	HP:0003898
Large end part of long bone in upper arm	HP:0003898
Round humeral epiphyses	HP:0003899
Round end part of long bone in upper arm	HP:0003899
Small humeral epiphyses	HP:0003900
Small end part of long bone in upper arm	HP:0003900
Stippled calcification of the humeral epiphyses	HP:0003901
Epiphyseal stippling of the humerus	HP:0003902
Stippled ossification of the humeral epiphyses	HP:0003902
Broad humeral epiphyses	HP:0003903
Wide humeral epiphyses	HP:0003903
Wide end part of long bone in upper arm	HP:0003903
Wide epiphyses of the upper limbs	HP:0003904
Broad epiphyses of the upper limbs	HP:0003904
Wide end part of upper limb bones	HP:0003904
Abnormality of the humeral epiphyseal plate	HP:0003905
Abnormality of arm long bone growth plate	HP:0003905
Broad humeral epiphyseal plate	HP:0003906
Wide long bone of arm growth plate	HP:0003906
Wide humeral epiphyseal plate	HP:0003906
Abnormality of the humeral metaphyses	HP:0003907
Abnormality of the wide portion of the long bone in upper arm	HP:0003907
Corner fracture of metaphysis	HP:0003908
Bucket handle fracture	HP:0003908
Metaphyseal corner fracture	HP:0003908
Cortical subperiosteal resorption of humeral metaphyses	HP:0003909
Enlarged humeral metaphyses	HP:0003910
Expanded humeral metaphyses	HP:0003910
Enlarged wide portion of long bone of upper arm	HP:0003910
Flared humeral metaphysis	HP:0003911
Flared wide portion of long bone of upper arm	HP:0003911
Wide/broad humeral metaphysis	HP:0003911
Flared humerus	HP:0003911
Frayed humeral metaphyses	HP:0003912
Humeral metaphyseal irregularity	HP:0003913
Irregular wide portion of long bone in upper arm	HP:0003913
Irregular humeral metaphyses	HP:0003913
Irregular ossification of humeral metaphyses	HP:0003914
Irregular bone maturation of the wide portion of the long bone in upper arm	HP:0003914
Lytic defects of the humeral metaphysis	HP:0003915
Normal-density transverse humeral bands	HP:0003916
Pointed humeral metaphysis	HP:0003917
Pointed wide portion of long bone of upper arm	HP:0003917
Sclerotic humeral metaphysis	HP:0003918
Hardening of wide portion of long bone of upper arm	HP:0003918
Stiffening of wide portion of long bone of upper arm	HP:0003918
Sclerotic humeral metaphysis with longitudinal striations	HP:0003919
Sloping humeral metaphysis	HP:0003920
Sloping metaphysis of long bone of upper arm	HP:0003920
Laterally sloping humeral metaphysis	HP:0003921
Laterally sloping metaphysis of long bone of upper arm	HP:0003921
Spurred humeral metaphysis	HP:0003922
Spurred metaphysis of long bone of upper arm	HP:0003922
Square humeral metaphysis	HP:0003923
Square metaphysis of long bone of upper arm	HP:0003923
Stippled calcification of humeral metaphysis	HP:0003924
Speckled calcification in metaphysis of long bone of upper arm	HP:0003924
Abnormality of the humeral diaphysis	HP:0003926
Abnormality of shaft of long bone in upper arm	HP:0003926
Cortical irregularity of humeral diaphysis	HP:0003927
Cortical thickening of humeral diaphysis	HP:0003928
Ground glass opacity of humeral diaphysis	HP:0003929
Lytic defects of humeral diaphysis	HP:0003930
Humeral diaphyseal lysis	HP:0003930
Periosteal new bone of humeral diaphysis	HP:0003931
Sclerotic foci of humeral diaphysis	HP:0003932
Sclerosis of humeral diaphysis	HP:0003933
Increased bone density in shaft of long bone in upper arm	HP:0003933
Slender humeral diaphysis	HP:0003934
Slender shaft of long bone in upper arm	HP:0003934
Wide humeral diaphysis	HP:0003935
Broad shaft of long bone in upper arm	HP:0003935
Wide shaft of long bone in upper arm	HP:0003935
Broad humeral diaphysis	HP:0003935
Synostosis involving the elbow	HP:0003938
Bone fusion involving the elbow	HP:0003938
Humeroulnar synostosis	HP:0003939
Humeral ulnar synostosis	HP:0003939
Osteoarthritis of the elbow	HP:0003940
Stippled calcification of the elbow	HP:0003941
Synovial chondromatosis of the elbow	HP:0003942
Abnormality of the joint spaces of the elbow	HP:0003943
Abnormality of the joint spaces of the elbow	HP:0003943
Narrow joint spaces of the elbow	HP:0003944
Narrow joint spaces of the elbow	HP:0003944
Irregular articular surfaces of the elbow joints	HP:0003945
Abnormality of the epiphyses of the elbow	HP:0003946
Abnormality of end part of the elbow bone	HP:0003946
Delayed elbow epiphyseal ossification	HP:0003947
Delayed maturation of the end part of the elbow bone	HP:0003947
Irregular epiphyses of the elbow	HP:0003948
Irregular end part of the elbow bone	HP:0003948
Abnormality of the elbow metaphyses	HP:0003949
Abnormal wide portion of elbow bone	HP:0003949
Flared elbow metaphyses	HP:0003950
Flared wide portion of elbow bone	HP:0003950
Distal humeral metaphyseal irregularity	HP:0003951
Irregular wide portion of elbow bone	HP:0003951
Irregular metaphyses of elbow	HP:0003951
Sclerotic foci of metaphyses of the elbow	HP:0003952
Vertical linear mixed lucent and sclerotic pattern of metaphyses	HP:0003952
Absent forearm bone	HP:0003953
Absent forearm bone	HP:0003953
Aplasia of the forearm bones	HP:0003953
Angulated forearm bones	HP:0003954
Angulated forearm bones	HP:0003954
Bone-in-a-bone appearance of forearm	HP:0003955
Bone-in-a-bone appearance of forearm	HP:0003955
Bowed forearm bones	HP:0003956
Bowed forearm bones	HP:0003956
Cortical thickening of the forearm bones	HP:0003957
Cross-fusion of the forearm bones	HP:0003958
Deformed forearm bones	HP:0003959
Deformed forearm bones	HP:0003959
Exostoses of the forearm bones	HP:0003960
Fractured forearm bones	HP:0003961
Fractured forearm bones	HP:0003961
Lytic defects of the forearm bones	HP:0003963
Osteoporotic forearm bones	HP:0003964
Pseudarthrosis of the forearm bones	HP:0003965
Sclerotic foci in forearm bones	HP:0003966
Sclerotic forearm bones	HP:0003967
Increased bone density of forearm bones	HP:0003967
Slender forearm bones	HP:0003969
Undermodelled forearm bones	HP:0003970
Broad forearm bones	HP:0003971
Wide forearm bones	HP:0003971
Broad forearm bones	HP:0003971
Wide radioulnar joints	HP:0003973
Broad radioulnar joints	HP:0003973
Absent radius	HP:0003974
Radial aplasia	HP:0003974
Absent ossification/absence of radius	HP:0003974
absence of radius and ulna	HP:0003974
Aplasia of the radius	HP:0003974
obsolete Chevron-shaped/cone-shaped radius	HP:0003975
Constricted radius	HP:0003976
Deformed radius	HP:0003977
Fractured radius	HP:0003978
Lytic defects of the radius	HP:0003979
Pseudarthrosis of the radius	HP:0003980
Broad radius	HP:0003981
Wide radius	HP:0003981
Aplasia of the ulna	HP:0003982
Absent ulnae	HP:0003982
Absent ossification/absent ulna	HP:0003982
Absent ulna	HP:0003982
Posteriorly dislocated ulna	HP:0003984
Exostoses of the ulna	HP:0003985
Exostoses of the radius	HP:0003986
Fractured ulna	HP:0003987
Long ulna	HP:0003988
Disproportionately long ulnae	HP:0003988
Notched ulna	HP:0003989
Pointed ulna	HP:0003990
Osteosclerosis of the ulna	HP:0003991
Sclerotic ulna	HP:0003991
Slender ulna	HP:0003992
Broad ulna	HP:0003993
Wide ulna	HP:0003993
Dislocated wrist	HP:0003994
Dislocated wrist	HP:0003994
Dislocations of the wrists	HP:0003994
Abnormality of the radial head	HP:0003995
Deformity of radial heads	HP:0003995
Flattened radial head	HP:0003996
Hypoplastic radial head	HP:0003997
Small radial head	HP:0003997
Constricted radial neck	HP:0003998
Abnormality of radial epiphyses	HP:0003999
Abnormality of radial epiphyseal plates	HP:0003999
Cone-shaped distal radial epiphysis	HP:0004000
Chevron-shaped distal radial epiphysis	HP:0004000
Medially deficient radial epiphyses	HP:0004001
Flattened radial epiphyses	HP:0004002
Medially flattened radial epiphyses	HP:0004003
Irregular radial epiphyses	HP:0004004
Large radial epiphyses	HP:0004005
Round radial epiphyses	HP:0004006
Sclerotic radial epiphyses	HP:0004007
Sloping radial epiphyses	HP:0004008
Medially sloping radial epiphyses	HP:0004009
Small radial epiphyses	HP:0004010
Premature fusion of the radial epiphyseal plates	HP:0004012
Medially fused radial epiphyseal plates	HP:0004013
Broad radial epiphyseal plate	HP:0004014
Wide radial epiphyseal plates	HP:0004014
Abnormality of radial metaphyses	HP:0004015
Cupped radial metaphyses	HP:0004016
Exostoses of the radial metaphysis	HP:0004017
Flared radial metaphysis	HP:0004018
Broadening of the distal radius	HP:0004018
Radial metaphyseal irregularity	HP:0004019
Irregular radial metaphysis	HP:0004019
Irregular ossification of the radial metaphysis	HP:0004020
Lytic defects of radial metaphysis	HP:0004021
Sclerotic radial metaphysis with longitudinal striations	HP:0004022
Sloping radial metaphysis	HP:0004023
Medially sloping radial metaphysis	HP:0004024
Spurred radial metaphysis	HP:0004025
Broad radial metaphysis	HP:0004026
Wide radial metaphysis	HP:0004026
Abnormality of radial diaphysis	HP:0004027
Spurs of radial diaphysis	HP:0004028
Lytic defects of radial diaphysis	HP:0004029
Patchy sclerosis of radial diaphysis	HP:0004030
Broad radial diaphysis	HP:0004031
Wide radial diaphysis	HP:0004031
Abnormality of the olecranon	HP:0004032
Curved olecranon	HP:0004033
Irregular olecranon	HP:0004034
Abnormality of the styloid process of ulna	HP:0004035
Long styloid process of ulna	HP:0004036
Abnormality of the ulnar epiphyses	HP:0004037
Abnormality of the epiphyseal plate of the ulna	HP:0004037
Bony spikule of ulnar epiphyseal plate	HP:0004038
Abnormality of ulnar metaphysis	HP:0004039
Corner fragments of ulnar metaphysis	HP:0004040
Cupped ulnar metaphysis	HP:0004041
Ulnar metaphyseal irregularity	HP:0004042
Irregular ulnar metaphysis	HP:0004042
Lytic defects of ulnar metaphysis	HP:0004043
Pointed ulnar metaphysis	HP:0004044
Sloping ulnar metaphysis	HP:0004045
Spurred ulnar metaphysis	HP:0004046
Wide ulnar metaphysis	HP:0004047
Broad ulnar metaphysis	HP:0004047
Narrow joint spaces of wrist	HP:0004048
Decreased carpal angles of wrist	HP:0004049
Absent hand	HP:0004050
Absent hand	HP:0004050
Acheiria	HP:0004050
Advanced ossification of the hand bones	HP:0004051
Advanced maturation of the hand bones	HP:0004051
Accelerated maturation of hand bones	HP:0004051
Delayed ossification of the hand bones	HP:0004052
Delay maturation/delayed ossification of the hand	HP:0004052
Delayed maturation of the hand bones	HP:0004052
Dysharmonic maturation of the hand bones	HP:0004053
Dysharmonic ossification of the hand bones	HP:0004053
Disharmonic maturation of the hand bones	HP:0004053
Sclerosis of hand bone	HP:0004054
Increased bone density in hand bone	HP:0004054
Generalized sclerosis of hand bones	HP:0004054
Hand bone sclerosis	HP:0004054
Mitten deformity	HP:0004057
Pseudosyndactyly	HP:0004057
Hand monodactyly	HP:0004058
Radial club hand	HP:0004059
Radial dysplasia	HP:0004059
Trident hand	HP:0004060
trident abnormality	HP:0004060
trident deformity	HP:0004060
obsolete Laterally deviated thumb phalanges	HP:0004066
obsolete Laterally deviated terminal thumb phalanx	HP:0004083
obsolete Advanced maturation/advanced ossification of terminal thumb phalanx epiphysis	HP:0004090
Curved fingers	HP:0004095
Curved fingers	HP:0004095
Deviation of finger	HP:0004097
Deviated fingers	HP:0004097
Macrodactyly	HP:0004099
Megalodactyly	HP:0004099
Finger overgrowth	HP:0004099
Abnormality of the 2nd finger	HP:0004100
Abnormality of index finger	HP:0004100
obsolete Radially deviated index finger phalanges	HP:0004110
Midline nasal groove	HP:0004112
Central nasal groove	HP:0004112
Midline nasal groove	HP:0004112
obsolete Radially displaced proximal index finger phalanx	HP:0004121
Midline defect of the nose	HP:0004122
Midline defect of the nose	HP:0004122
Central defect of nose	HP:0004122
Central nasal defect	HP:0004122
Midline cleft of nose	HP:0004122
Central cleft of nose	HP:0004122
Midline nasal defect	HP:0004122
Dimple on nasal tip	HP:0004132
Dimple on nasal tip	HP:0004132
Dimpled tip of nose	HP:0004132
obsolete Metaphyseal abnormality of middle phalanx of the 2nd finger	HP:0004138
obsolete Flared metaphysis of middle phalanx of index finger	HP:0004139
obsolete Radially deviated terminal index finger phalanx	HP:0004143
obsolete Duplication of terminal index finger phalanx	HP:0004144
Abnormality of the 3rd finger	HP:0004150
Abnormality of the middle finger	HP:0004150
obsolete Overgrowth of middle finger	HP:0004153
obsolete Accessory middle-finger phalanges	HP:0004157
obsolete Periosteal new bone of middle finger phalanges	HP:0004161
obsolete Radially pointed middle finger phalanges	HP:0004162
obsolete Radially pointed proximal middle-finger phalanx	HP:0004168
Abnormality of the middle phalanx of the 3rd finger	HP:0004172
Abnormal middle finger bone of the middle finger	HP:0004172
obsolete Accessory middle phalanx of middle finger	HP:0004174
obsolete Periosteal new bone of middle phalanx of middle-finger	HP:0004175
Short distal phalanx of the 3rd finger	HP:0004180
Short outermost bone of the middle finger	HP:0004180
Hypoplastic/small distal phalanx of the 3rd finger	HP:0004180
Short terminal phalanx of middle finger	HP:0004180
Short distal phalanx of the third finger	HP:0004180
obsolete Abnormality of the epiphyses of the terminal phalanx of the middle finger	HP:0004183
obsolete Cone-shaped epiphysis of terminal phalanx of the middle finger	HP:0004184
obsolete Fused epiphysis of terminal phalanx of the middle finger	HP:0004185
obsolete Large epiphysis of terminal phalanx of the middle finger	HP:0004186
obsolete Prematurely fused epiphysis of terminal phalanx of the middle finger	HP:0004187
Abnormality of the 4th finger	HP:0004188
Abnormality of the ring finger	HP:0004188
obsolete Bracket epiphyses of the 4th finger	HP:0004192
obsolete Expanded phalanges of the ring finger	HP:0004193
obsolete Hypoplastic phalanges of the ring finger	HP:0004194
Osteolytic defects of the phalanges of the 4th finger	HP:0004195
Lytic defects of the phalanges of the ring finger	HP:0004195
obsolete Short phalanges of the ring finger	HP:0004196
Symphalangism of the 4th finger	HP:0004197
Fused ring finger bones	HP:0004197
Symphalangism of the ring finger	HP:0004197
obsolete Wide/broad phalanges of the ring finger	HP:0004198
obsolete Expanded proximal phalanx of the ring finger	HP:0004201
obsolete Lytic defects of the proximal phalanx of the ring finger	HP:0004202
obsolete Short proximal phalanx of the ring finger	HP:0004203
Abnormality of the 5th finger	HP:0004207
Abnormality of the pinky finger	HP:0004207
Abnormality of the pinkie finger	HP:0004207
Abnormality of the little finger	HP:0004207
Clinodactyly of the 5th finger	HP:0004209
Fifth finger clinodactyly	HP:0004209
Clinodactyly of fifth digit	HP:0004209
Bilateral fifth finger clinodactyly	HP:0004209
Bilateral fifth digit clinodactyly	HP:0004209
Clinodactyly of the little finger	HP:0004209
Curvature of pinky finger	HP:0004209
Curvature of pinkie finger	HP:0004209
Curvature of little finger	HP:0004209
Abnormality of the phalanges of the 5th finger	HP:0004213
Abnormality of the pinkie finger bone	HP:0004213
Abnormality of the pinky finger bone	HP:0004213
Abnormality of the little finger bone	HP:0004213
Curved phalanges of the 5th finger	HP:0004214
Curved pinky finger bone	HP:0004214
Curved pinkie finger bone	HP:0004214
Curved little finger bone	HP:0004214
Osteolytic defects of the phalanges of the 5th finger	HP:0004216
Lytic defects of the phalanges of the little finger	HP:0004216
Symphalangism of the 5th finger	HP:0004218
Symphalagism of the little finger	HP:0004218
Fused pinkie finger bones	HP:0004218
Fused little finger bones	HP:0004218
Fused pinky finger bones	HP:0004218
Abnormality of the middle phalanx of the 5th finger	HP:0004219
Abnormality of the middle bone of pinkie finger	HP:0004219
Abnormality of the middle bone of pinky finger	HP:0004219
Abnormality of the middle bone of little finger	HP:0004219
Short middle phalanx of the 5th finger	HP:0004220
Hypoplastic middle phalanx of the 5th finger	HP:0004220
Short middle bone of the little finger	HP:0004220
Short middle bone of the pinkie finger	HP:0004220
Type A3 brachydactyly	HP:0004220
Brachymesophalangism V	HP:0004220
Fifth finger mid-phalanx hypoplasia	HP:0004220
Hypoplastic/small middle phalanx of the 5th finger	HP:0004220
Short middle phalanx of the little finger	HP:0004220
Hypoplastic/small middle phalanx of the little finger	HP:0004220
Short middle bone of the pinky finger	HP:0004220
Hypoplastic fifth finger middle phalanx	HP:0004220
5th finger middle phalangeal hypoplasia	HP:0004220
Cone-shaped epiphysis of the distal phalanx of the 5th finger	HP:0004222
Cone-shaped end part of the outermost pinky finger bone	HP:0004222
Cone-shaped epiphysis of the distal phalanx of the little finger	HP:0004222
Cone-shaped end part of the outermost pinkie finger bone	HP:0004222
Cone-shaped end part of the outermost little finger bone	HP:0004222
Ivory epiphysis of the distal phalanx of the 5th finger	HP:0004223
Ivory epiphysis of the terminal phalanx of the little finger	HP:0004223
Increased bone density of end part of the outermost little finger bone	HP:0004223
Increased bone density of end part of the outermost pinkie finger bone	HP:0004223
Increased bone density of end part of the outermost pinky finger bone	HP:0004223
Ivory epiphysis of the distal phalanx of the little finger	HP:0004223
Abnormality of the epiphysis of the middle phalanx of the 5th finger	HP:0004224
Abnormality of the end part of middle pinkie finger bone	HP:0004224
Abnormality of the end part of middle little finger bone	HP:0004224
Abnormality of the end part of middle pinky finger bone	HP:0004224
Abnormality of the distal phalanx of the 5th finger	HP:0004225
Abnormality of the outermost little finger bone	HP:0004225
Abnormality of the outermost pinky finger bone	HP:0004225
Abnormality of the outermost pinkie finger bone	HP:0004225
Abnormality of the distal phalanx of the little finger	HP:0004225
Abnormality of the terminal phalanx of the little finger	HP:0004225
Curved distal phalanx of the 5th finger	HP:0004226
Curved terminal phalanx of the little finger	HP:0004226
Curved outermost pinkie finger bone	HP:0004226
Curved outermost little finger bone	HP:0004226
Curved outermost pinky finger bone	HP:0004226
Short distal phalanx of the 5th finger	HP:0004227
Brachytelophalangism V	HP:0004227
Short outermost pinky finger bone	HP:0004227
Fifth digit distal phalangeal hypoplasia	HP:0004227
Short outermost little finger bone	HP:0004227
Short outermost pinkie finger bone	HP:0004227
Hypoplastic/small terminal phalanx of the little finger	HP:0004227
Short distal phalanx of the fifth finger	HP:0004227
Subluxation of the proximal interphalangeal joint of the little finger	HP:0004230
Partially dislocated innermost hinge joint of little finger	HP:0004230
Partially dislocated innermost hinge joint of pinky finger	HP:0004230
Partially dislocated innermost hinge joint of pinkie finger	HP:0004230
Carpal bone aplasia	HP:0004231
Absent carpal bone	HP:0004231
Absent carpal bones	HP:0004231
Absent carpal ossification center	HP:0004231
Absent wrist bone	HP:0004231
Aplastic carpal bone	HP:0004231
Missing wrist bone	HP:0004231
Accessory carpal bones	HP:0004232
Extra wrist bones	HP:0004232
Supernumerary carpal bones	HP:0004232
Advanced ossification of carpal bones	HP:0004233
Advanced carpal ossification	HP:0004233
Precociously ossified carpal bones	HP:0004233
Accelerated carpal bone maturation	HP:0004233
Accelerated wrist bone maturation	HP:0004233
Advanced carpal bone age	HP:0004233
Bone-in-a-bone appearance of carpal bones	HP:0004234
Bone-in-a-bone appearance of wrist bones	HP:0004234
Comma-shaped carpal bones	HP:0004235
Comma-shaped wrist bones	HP:0004235
Irregular carpal bones	HP:0004236
Irregular wrist bones	HP:0004236
Large carpal bones	HP:0004237
Large wrist bones	HP:0004237
Large carpals	HP:0004237
Lytic defects of carpal bones	HP:0004238
Proximally placed carpal bones	HP:0004239
Sclerotic foci within carpal bones	HP:0004240
Stiffened spots within wrist bones	HP:0004240
Hardened spots within wrist bones	HP:0004240
Stippled calcification in carpal bones	HP:0004241
Punctate calcifications of carpals	HP:0004241
Broad carpal bones	HP:0004242
Wide wrist bones	HP:0004242
Wide carpal bones	HP:0004242
Abnormality of the scaphoid	HP:0004243
Accessory scaphoid	HP:0004244
Comma-shaped scaphoid	HP:0004245
Delayed ossification of the scaphoid	HP:0004246
Delayed maturation of the scaphoid	HP:0004246
Small scaphoid	HP:0004247
Abnormality of the lunate bone	HP:0004248
Accessory lunate	HP:0004249
Proximally placed lunate	HP:0004250
Lunate-triquetral fusion	HP:0004251
Lunotriquetral synostosis	HP:0004251
Abnormality of the trapezium	HP:0004252
Absent trapezium	HP:0004253
Absent trapezium bone	HP:0004253
Delayed ossification of the trapezium	HP:0004254
Delayed maturation of the trapezium	HP:0004254
Small trapezium	HP:0004255
Abnormality of the trapezoid bone	HP:0004256
Delayed ossification of the trapezoid bone	HP:0004257
Delayed maturation of the trapezoid bone	HP:0004257
Small trapezoid bone	HP:0004258
Abnormality of the hamate bone	HP:0004259
Large hamate bone	HP:0004260
Large unciform bone	HP:0004260
Wide hamate bone	HP:0004261
Broad hamate bone	HP:0004261
Wide unciform bone	HP:0004261
Abnormality of the capitate bone	HP:0004262
Large capitate bone	HP:0004263
Narrow carpal joint spaces	HP:0004264
Decreased carpal joint angles	HP:0004264
Narrow small joints of the hand	HP:0004267
Narrow small joints of the hand	HP:0004267
Osteoarthritis of the small joints of the hand	HP:0004268
Subluxation of the small joints of the hand	HP:0004269
Partial dislocation of small joints of hand	HP:0004269
Cortical thickening of hand bones	HP:0004271
Cortical thinning of hand bones	HP:0004272
Cupped metaphyses of hand bones	HP:0004273
Cupped wide portion of hand bones	HP:0004273
Cupped metaphysis of hand bones	HP:0004273
Deficient ossification of hand bones	HP:0004274
Deficient maturation of hand bones	HP:0004274
Duplication of hand bones	HP:0004275
Duplication of hand bones	HP:0004275
Exostoses of hand bones	HP:0004276
Fractured hand bones	HP:0004277
Broken hand bones	HP:0004277
Fractured hand bones	HP:0004277
Synostosis involving bones of the hand	HP:0004278
Fused hand bones	HP:0004278
Short palm	HP:0004279
Hypoplastic hands	HP:0004279
Short hands	HP:0004279
Short palm	HP:0004279
Short palms	HP:0004279
Irregular ossification of hand bones	HP:0004280
Irregular maturation of hand bones	HP:0004280
Irregular sclerosis of hand bones	HP:0004281
Increased bone density in hand bones	HP:0004281
Narrow palm	HP:0004283
Narrow palm	HP:0004283
Narrow hand	HP:0004283
Narrow hands	HP:0004283
Notched hand bones	HP:0004284
Notched hand bones	HP:0004284
Overmodelled hand bones	HP:0004285
Patchy sclerosis of hand bones	HP:0004286
Uneven increase in bone density in hand bones	HP:0004286
Pointed hand bones	HP:0004287
Pointed hand bones	HP:0004287
Pseudoepiphyses of hand bones	HP:0004288
Sclerotic foci in hand bones	HP:0004289
Sclerosis of hand bones with transverse striations	HP:0004290
Stippled calcification of hand bones	HP:0004291
Undermodelled hand bones	HP:0004292
Synostosis of second metacarpal-trapezoid	HP:0004293
Fusion of second metacarpal-trapezoid	HP:0004293
Subluxation of metacarpal phalangeal joints	HP:0004294
Subluxation of metacarpophalangeal joints	HP:0004294
Partial knuckle dislocation	HP:0004294
Abnormality of the gastric mucosa	HP:0004295
Abnormality of the mucous membrane layer of stomach	HP:0004295
Abnormality of gastrointestinal vasculature	HP:0004296
Abnormality of GI blood vessels	HP:0004296
Abnormality of the biliary system	HP:0004297
Abnormality of the abdominal wall	HP:0004298
Abnormality of the abdominal wall	HP:0004298
Abnormality of external features of the abdomen	HP:0004298
Hernia of the abdominal wall	HP:0004299
Herniated abdominal wall	HP:0004299
Functional motor deficit	HP:0004302
Functional motor problems	HP:0004302
Abnormality of muscle fibers	HP:0004303
Abnormal skeletal muscle fiber morphology	HP:0004303
Involuntary movements	HP:0004305
Involuntary movements	HP:0004305
Involuntary muscle contractions	HP:0004305
Abnormal endocardium morphology	HP:0004306
Abnormality of the endomycoardium	HP:0004306
Abnormality of the endocardium	HP:0004306
Abnormal anatomic location of the heart	HP:0004307
Ventricular arrhythmia	HP:0004308
Ventricular arrhythmias	HP:0004308
Ventricular preexcitation	HP:0004309
Pre-excitation syndrome	HP:0004309
Preexcitation	HP:0004309
Ventricular pre-excitation	HP:0004309
Abnormal macrophage morphology	HP:0004311
Abnormality of histiocytes	HP:0004311
Abnormality of macrophages	HP:0004311
Abnormality of reticulocytes	HP:0004312
Decreased antibody level in blood	HP:0004313
Decreased serum immunoglobulin	HP:0004313
Reduced immunoglobulin levels	HP:0004313
Decreased immunoglobulin level	HP:0004313
Hypogammaglobulinemia	HP:0004313
Immunoglobulin deficiency	HP:0004313
IgG deficiency	HP:0004315
Decreased serum IgG	HP:0004315
Reduced IgG levels	HP:0004315
Decreased gamma-globin expression	HP:0004315
Decreased IgG level	HP:0004315
Decreased immunoglobulin G	HP:0004315
Decreased circulating aldosterone level	HP:0004319
Decreased aldosterone	HP:0004319
Mineralocorticoid insufficiency	HP:0004319
Hypoaldosteronism	HP:0004319
Decreased serum aldosterone	HP:0004319
Decreased aldosterone production	HP:0004319
Vaginal fistula	HP:0004320
Bladder fistula	HP:0004321
Short stature	HP:0004322
Stature below 3rd percentile	HP:0004322
Short stature	HP:0004322
Small stature	HP:0004322
Decreased body height	HP:0004322
Height less than 3rd percentile	HP:0004322
Abnormality of body weight	HP:0004323
Abnormality of habitus	HP:0004323
Abnormality of body weight	HP:0004323
Increased body weight	HP:0004324
Weight gain	HP:0004324
Increased body weight	HP:0004324
Decreased body weight	HP:0004325
Weight less than 3rd percentile	HP:0004325
Decreased weight	HP:0004325
Decreased body weight	HP:0004325
Low weight	HP:0004325
Low body weight	HP:0004325
Cachexia	HP:0004326
Wasting syndrome	HP:0004326
Abnormal vitreous humor morphology	HP:0004327
Abnormal anterior segment morphology	HP:0004328
Abnormality of the anterior segment of the eye	HP:0004328
Abnormality of the anterior segment of the eyeball	HP:0004328
Abnormality of the anterior segment of the globe	HP:0004328
Abnormal morphology of the posterior segment of the globe	HP:0004329
